pali,thai
สมฺโมทิ,กล่าวทักทายด้วยความยินดีแล้ว
สทฺธึ,กับ
ภควตา,ด้วยพระผู้มีพระภาค
กถํ,ยังถ้อยคำ
สมฺโมทนียํ,ที่น่ายินดี
สารณียํ,ที่ควรแก่การระลึกถึง
วีติสาเรตฺวา,ให้จบลงแล้ว
นิสีทิ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ใน
,ที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
พฺราหฺมณคหปติกา อปิ โข,ฝ่ายพราหมณ์และคหบดี ท.
ขานุมตฺตกา,ผู้อยู่ในบ้านชื่อว่าขาณุมตะ
อปฺเปกจฺเจ,บางพวก
อภิวาเทตฺวา,ถวายอภิวาทแล้ว
ภควนฺตํ,ซึ่งพระผู้มีพระภาค
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ(พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
สมฺโมทึสุ,กล่าวทักทายด้วยความยินดีแล้ว
สทฺธึ,กับ
ภควตา,ด้วยพระผู้มีพระภาค
กถํ,ยังถ้อยคำ
สมฺโมทนียํ,ที่น่ายินดี
สารณียํ,ที่ควรแก่การระลึกถึง
วีติสาเรตฺวา,ให้จบลงแล้ว
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
ภควา,พระผู้มีพระภาค
(วิหรติ),ย่อมประทับอยู่
เยน (ทิสาภาเคน),ทางทิศใด
ปณาเมตฺวา,ประนมแล้ว
อญฺชลึ,ซึ่งอัญชลี
เตน (ทิสาภาเคน),ทางทิศนั้น
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ (พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท. บางพวก
สาเวตฺวา,ประกาศแล้ว
นามโคตฺตํ,ซึ่งชื่อและนามสกุล
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,"],"
อปฺเปกจฺเจ(พฺราหฺมณคหปติกา),พราหมณ์และคหบดี ท.
,บางพวก
ตุณฺหีภูตา,เป็นผู้นิ่ง
(หุตฺวา),เป็น
นิสีทึสุ,นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
,[๓๓๕]
พฺราหฺมโณ,พราหมณ์
กูฏทนฺโต,ผู้มีนามว่ากูฏทันตะ
นิสินฺโน โข,ผู้นั่งแล้ว
เอกมนฺตํ=เอกํ + อนฺตํ,ในที่สมควรส่วนข้างหนึ่ง
,อีกนัยหนึ่ง
เอกมนฺตํ=เอกํ + อนฺตํ,โดยที่สมควรข้างหนึ่ง
อโวจ,ได้กราบทูลแล้ว
เอตํ (วจนํ),ซึ่งคำนี้
ภควนฺตํ,กะพระผู้มีพระภาค
อิติ,ว่า
โภ โคตม,ข้าแต่ท่านพระโคดม
(วจนํ),คำนี้
เม,อันข้าพระองค์
สุตํ,ได้สดับจดจำมาแล้ว
อิติ,ว่า
สมโณ,พระสมณะ
โคตโม,ผู้มีนามว่าโคดม
ชานาติ,ย่อมทรงทราบ
ยญฺญสมฺปทํ,ซึ่งความถึงพร้อมแห่งยัญ
ติวิธํ,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขารํ,อันมีบริวาร ๑๖ ประการ
ปน,แต่ว่า
โข,ข้าพระองค์
น ชานามิ,ย่อมไม่รู้
ยญฺญสมฺปทํ,ซึ่งความถึงพร้อมแห่งยัญ
ติวิธํ,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขารํ,อันมีบริวาร ๑๖ ประการ
จ,อนึ่ง
อหํ,ข้าพระองค์
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
สาธุ,ขอประทานพระวโรกาสเถิด
ภวํ โคตโม,ขอท่านพระโคดม
เทเสตุ,โปรดทรงแสดง
ยญฺญสมฺปทํ,ซึ่งความถึงพร้อมแห่งยัญ
ติวิธํ,อันมีการตั้งไว้ ๓ ประการ
โสฬสปริกฺขารํ,อันมีบริวาร ๑๖ ประการ
เม,แก่ข้าพระองค์
,[๓๓๖]
(ภควา),พระผู้มีพระภาค
(อาห),ตรัสแล้ว
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
เตนหิ,ถ้าอย่างนั้น
(ตฺวํ),ท่าน
สุณาหิ,จงฟัง
มนสิกโรหิ,จงกระทำไว้ในใจ
สาธุกํ,ให้ดี
(อหํ),เรา
ภาสิสฺสามิ,จักกล่าว
พฺราหฺมโณ,พราหมณ์
กูฏทนฺโต,ผู้มีนามว่ากูฏทันตะ
ปจฺจสฺโสสิ,ทูลรับแล้ว
(วจนํ),ซึ่งพระดำรัส
ภควโต,ของพระผู้มีพระภาค
โข,ว่า
โภ,ข้าแต่ท่านผู้เจริญ
เอวํ=สาธุ,ดีละ  พระเจ้าข้า
ภควา,พระผู้มีพระภาค
อโวจ,ได้ตรัสแล้ว
เอตํ (วจนํ),ซึ่งพระดำรัสนี้
อิติ,ว่า
พฺราหฺมณ,ดูก่อนพราหมณ์
ภูตปุพฺพํ,เรื่องเคยมีมาแล้ว
ราชา,พระราชา
นาม,ทรงพระนามว่ามหาวิชิตะ
,ทรงเป็นผู้มั่งคั่ง
,ทรงเป็นผู้มีทรัพย์มาก
,ทรงเป็นผู้มีโภคะมาก
,ทรงเป็นผู้มีทองและเงินมาก
,ทรงเป็นผู้มีสิ่งของอันเป็นเหตุนำมาซึ่งความปลื้มใจมาก
,ทรงเป็นผู้มีทรัพย์และพืชพันธุ์มาก
,ทรงเป็นผู้มีสิ่งของเต็มท้องพระคลังและฉาง
อโหสิ,ได้เป็นแล้ว.
พฺราหฺมณ,ดูก่อนพราหมณ์
อถ โข,ครั้งนั้น
ปริวิตกฺโก,ความดำริ
เจตโส,แห่งพระทัย
อุทปาทิ,เกิดขึ้นแล้ว
รญฺโญ,แก่พระราชา
มหาวิชิตสฺส,ทรงพระนามว่ามหาวิชิตะ
รโหคตสฺส,ผู้อยู่ในที่ลับ
ปฏิสลฺลีนสฺส,ผู้หลีกเร้นอยู่
เอวํ,อย่างนี้
,อีกนัยหนึ่ง
ปริวิตกฺโก,ความดำริ
เจตโส,แห่งพระทัย
รญฺโญ,ของพระราชา
มหาวิชิตสฺส,ทรงพระนามว่ามหาวิชิตะ
รโหคตสฺส,ผู้อยู่ในที่ลับ
ปฏิสลฺลีนสฺส,ผู้หลีกเร้นอยู่
อุทปาทิ,เกิดขึ้นแล้ว
เอวํ,อย่างนี้
อิติ,ว่า
โภคา,โภคสมบัติ ท.
มานุสกา,ที่เป็นของมนุษย์
วิปุลา,อันมากมาย
เม,อันเรา
อธิคตา โข,ได้ถือครองแล้ว
(อหํ),เรา
อภิวิชิย,ได้ชนะแล้ว
อชฺฌาวสามิ,ย่อมปกครอง
ปถวิมณฺฑลํ,ซึ่งมณฑลแห่งแผ่นดิน
มหนฺตํ,ที่กว้างใหญ่
ยํ (มหายญฺญ)ํ,มหายัญใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ยํนูน,ถ้ากระไร
อหํ,เรา
ยเชยฺยํ,พึงบูชา
มหายญฺญํ,ซึ่งมหายัญ
(ตํ),นั้น
,[๓๓๗]
พฺราหฺมณ,ดูก่อนพราหมณ์
อถ โข,ครั้งนั้น
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
อามนฺเตตฺวา,รับสั่งให้เรียกมาแล้ว
พฺราหฺมณํ,ซึ่งพราหมณ์
ปุโรหิตํ,ผู้เป็นปุโรหิต
อโวจ,ได้ตรัสแล้ว
เอตํ (วจนํ),ซึ่งพระดำรัสนี้
อิติ,ว่า
พฺราหฺมณ,แน่ะพราหมณ์
ปริวิตกฺโก,ความคิด
เจตโส,แห่งใจ
อุทปาทิ,เกิดขึ้นแล้ว
มยฺหํ,แก่เรา
รโหคตสฺส,ผู้อยู่ในที่ลับ
ปฏิสลฺลีนสฺส,ผู้หลีกเร้นอยู่
อิธ,ในที่นี้
เอวํ,อย่างนี้
,อีกนัยหนึ่ง
ปริวิตกฺโก,ความดำริ
เจตโส,แห่งใจ
มยฺหํ,ของเรา
รโหคตสฺส,ผู้อยู่ในที่ลับ
ปฏิสลฺลีนสฺส,ผู้หลีกเร้นอยู่
อิธ,ในที่นี้
อุทปาทิ,เกิดขึ้นแล้ว
เอวํ,อย่างนี้
อิติ,ว่า
โภคา,โภคสมบัติ ท.
มานุสกา,ที่เป็นของมนุษย์
วิปุลา,อันมากมาย
เม,อันเรา
อธิคตา โข,ได้ถือครองแล้ว
(อหํ),เรา
อภิวิชิย,ได้ชนะแล้ว
อชฺฌาวสามิ,ย่อมปกครอง
ปถวิมณฺฑลํ,ซึ่งมณฑลแห่งแผ่นดิน
มหนฺตํ,ที่กว้างใหญ่
ยํ (มหายญฺญ)ํ,มหายัญใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ยํนูน,ถ้ากระไร
อหํ,เรา
ยเชยฺยํ,พึงบูชา
มหายญฺญํ,ซึ่งมหายัญ
(ตํ),นั้น
พฺราหฺมณ,ดูก่อนพราหมณ์
อหํ,เรา
อิจฉามิ,ย่อมปรารถนา
,เพื่อจะบูชา
มหายญฺญํ,"ซึ่งมหายัญ,"
ยํ (มหายญฺญ)ํ,มหายัญใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวํ,ขอท่านผู้เจริญ
อนุสาสตุ,โปรดแนะนำ
(มหายญฺญ)ํ,ซึ่งมหายัญ
(ตํ),นั้น
มํ,กะเรา
,[๓๓๘]
พฺราหฺมณ,ดูก่อนพราหมณ์
(วจเน),ครั้นเมื่อพระดำรัส
(รญฺญา),อันพระราชา
(มหาวิชิเตน),ทรงพระนามว่ามหาวิชิตะ
วุตฺเต,ตรัสแล้ว
เอวํ,อย่างนี้
พฺราหฺมโณ,พราหมณ์
ปุโรหิโต,ผู้เป็นปุโรหิต
อโวจ,ได้กราบทูลแล้ว
เอตํ (วจนํ),ซึ่งคำนี้
ราชานํ,กะพระราชา
มหาวิชิตํ,ทรงพระนามว่ามหาวิชิตะ
อิติ,ว่า
ชนปโท,แว่นแคว้น
รญฺโญ,ของพระราชา
โภโต โข,ผู้เจริญ
สกณฺฏโก,เป็นแว่นแคว้นที่ยังมีเสี้ยนหนาม
สอุปฺปีโฬ,เป็นแว่นแคว้นที่มีการเบียดเบียน
,ย่อมเป็น
คามฆาตาปิ,แม้การปล้นบ้าน
ทิสฺสนฺติ,ย่อมปรากฏอยู่
นิคมฆาตาปิ,แม้การปล้นนิคม
ทิสฺสนฺติ,ย่อมปรากฏอยู่
นครฆาตาปิ,แม้การปล้นนคร
ทิสฺสนฺติ,ย่อมปรากฏอยู่
,แม้การดักฆ่าในหนทางเปลี่ยว
,ย่อมปรากฏอยู่
ปน,หากว่า
ชนปเท,ครั้นเมื่อแว่นแคว้น
สกณฺฏเก,เป็นแว่นแคว้นที่ยังมีเสี้ยนหนาม
สอุปฺปีเฬ,เป็นแว่นแคว้นที่มีการเบียดเบียน
(สนฺเต),เป็นอยู่
เอวํ,อย่างนี้
ราชา,พระราชา
ภวํ โข,ผู้เจริญ
อุทฺธเรยฺย,พึงฟื้นฟูขึ้น
วลึ,ซึ่งพลีกรรม
ราชา,พระราชา
ภวํ,ผู้เจริญ
,พึงทรงเป็นผู้มีปกติกระทำสิ่งที่ไม่ควรทำ
เตน,เพราะการทำพลีกรรมนั้น
อสฺส=ภเวยฺย,พึงเป็น
ปน,หากว่า
(ปริวิตกฺโก),พระดำริ
สิยา โข,พึงมี
โภโตรญฺโญ,แก่พระราชา
อสฺส,พระองค์นั้น
เอวํ,อย่างนี้
,อีกนัยหนึ่ง
(ปริวิตกฺโก),พระดำริ
โภโต รญฺโญ,ของพระราชาผู้เจริญ
อสฺส,พระองค์นั้น
สิยา โข,พึงมี
เอวํ,อย่างนี้
อิติ,ว่า
,\lquote
อหํ,เรา
,จักปราบปรามโดยชอบ
เอตํทุสฺสุขิลํ,ซึ่งเสี้ยนหนามคือโจร
,นี้
วา,โดยการฆ่าบ้าง
พนฺเธน วา,โดยการจองจำบ้าง
วา,โดยการปรับไหมบ้าง
วา,โดยการตำหนิบ้าง
วา,โดยการเนรเทศบ้าง
ปน,แต่ว่า
เอวํ,การปราบปรามอย่างที่กล่าวมานี้
สมุคฺฆาโต,เป็นการกำจัด
ทุสฺสุขิลสฺส,ซึ่งเสี้ยนหนามคือโจร
เอตสฺส,นั้น
สมฺมา,โดยถูกต้อง
โหติ,ย่อมเป็น
น โข,หามิได้แล
หตาวเสสกา=มตาวเสสกา(โจรา),โจร ท. ผู้ที่เหลือจากที่ตายแล้ว
เย เต,เหล่าใด
ภวิสฺสนฺติ,จักมี
เต(โจรา),โจร ท. เหล่านั้น
วิเหเฐสฺสนฺติ,จักเบียดเบียน
ชนปทํ,ซึ่งแว่นแคว้น
รญฺโญ,ของพระราชา
ปจฺฉา,ในภายหลัง
อปิจ โข,แต่ว่า
สมุคฺฆาโต,การกำจัด
ทุสฺสุขิลสฺส,ซึ่งเสี้ยนหนามคือโจร
เอตสฺส,นั้น
สมฺมา,ที่ถูกต้อง
โหติ,ย่อมมี
อาคมฺม,เพราะอาศัย
สํวิธานํ,ซึ่งวิธีการ
อิทํ,นี้
เอว,ํ   ดังที่จะกล่าวต่อไปนี้
ภวํ ราชา,ข้าแต่พระราชาผู้เจริญ
เตน หิ,ถ้าอย่างนั้น
(ชนา),ชน ท.
,หล่าใด
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
โภโต,ผู้เจริญ
,ย่อมขยันหมั่นเพียร
กสิโครกฺเข,ในการเกษตรกรรมและการเลี้ยงปศุสัตว์
ภวํ ราชา,ขอพระราชา
อนุปฺปเทตุ,โปรดพระราชทาน
พีชภตฺตํ,ซึ่งพันธุ์พืชและอาหาร
เตสํ (ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น.  (๑)
(ชนา),ชน ท.
,หล่าใด
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
โภโต,ผู้เจริญ
อุสฺสหนฺติ,ย่อมขยันหมั่นเพียร
วาณิชฺชาย,ในการค้าขาย
ภวํ ราชา,ขอพระราชา
อนุปฺปเทตุ,โปรดพระราชทาน
ปาภตํ,ซึ่งต้นทุน
เตสํ(ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น.  (๒)
,ชน ท.
,หล่าใด
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
โภโต,ผู้เจริญ
อุสฺสหนฺติ,ย่อมขยันหมั่นเพียร
ราชโปริเส,ในการรับใช้สนองพระราชา
ภวํ ราชา,ขอพระราชา
,โปรดพระราชทาน
ภตฺตเวตนํ,ซึ่งอาหารและค่าจ้าง
เตสํ (ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น.
,(๓)
เต จ มนุสฺสา,ประชาชน ท. เหล่านั้น
สกมฺมปสุตา,เป็นผู้ขวนขวายแล้วในการงานของตน
น วิเหเฐสฺสนฺติ,จักไม่เบียดเบียน
ชนปทํ,ซึ่งแว่นแคว้น
รญฺโญ,ของพระราชา
จ,และ
,กอง
มหา,อันใหญ่
ภวิสฺสติ,จักมี
รญฺโญ,แก่พระราชา.
ชนปทา,แว่นแคว้น
เขมฏฺฐิตา,ก็จะเป็นแว่นแคว้นที่ตั้งอยู่ด้วยความเกษม
อกณฺฏกา,เป็นแว่นแคว้นที่ไม่มีเสี้ยนหนามคือโจร
อนุปฺปีฬา,เป็นแว่นแคว้นที่ไม่มีการเบียดเบียน
,ย่อมเป็น
มนุสฺสา,ประชาชน ท.
มุทา,เป็นผู้ชื่นชม
โมทมานา,เป็นผู้ยินดีอยู่
นจฺเจนฺตา,เล่นสนุกอยู่
ปุตฺเต,กะบุตร ท.
อุเร,ที่อก
มญฺเญ,เป็นผู้มีเรือนที่ไม่ต้องปิดประตูแล้ว
วิหริสฺสนฺติ,จักดำเนินชีวิตไป.
พฺราหฺมณ,ดูก่อนพราหมณ์
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
ปฏิสฺสุตฺวา,ทรงรับแล้ว
(วจนํ),ซึ่งคำ
พฺราหฺมณสฺส,ของพราหมณ์
ปุโรหิตสฺส,ผู้เป็นปุโรหิต
อิติ โข,ว่า
โภ,แน่ะท่านผู้เจริญ
เอวํ=สาธุ,ดีละ
เย (ชนา),ชน ท.
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
อุสฺสหึสุ,ขยันหมั่นเพียรแล้ว
กสิโครกฺเข,ในการเกษตรกรรมและการเลี้ยงปศุสัตว์
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
อนุปฺปทาสิ,ทรงพระราชทานแล้ว
พีชภตฺตํ,ซึ่ง
,พันธุ์พืชและอาหาร
เตสํ (ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น
จ,และ
เย (ชนา),ชน ท.
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
อุสฺสหึสุ,ขยันหมั่นเพียรแล้ว
วาณิชฺชาย,ในการค้าขาย
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
อนุปฺปทาสิ,ทรงพระราชทานแล้ว
ปาภตํ,ซึ่งต้นทุน
เตสํ (ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น.
,\par
จ,และ
(ชนา),ชน ท.
,หล่าใด
ชนปเท,ในแว่นแคว้น
รญฺโญ,ของพระราชา
,ขยันหมั่นเพียร
,แล้ว
ราชโปริเส,ในการรับใช้สนองพระราชา
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
,พระราชทานแล้ว
ภตฺตเวตนํ,ซึ่งอาหารและค่าจ้าง
เตสํ (ชนานํ),แก่ชนผู้ขยั่นหมั่นเพียร ท. เหล่านั้น.
จ,และ
เต มนุสฺสา,ประชาชน ท. เหล่านั้น
สกมฺมปสุตา,เป็นผู้ขวนขวายแล้วในการงานของตน
น วิเหฐสุ,ไม่เบียดเบียนแล้ว
ชนปทํ,ซึ่งแว่นแคว้น
รญฺโญ,ของพระราชา
จ,และ
,กอง
มหา,อันใหญ่
อโหสิ,ได้มีแล้ว
รญฺโญ,แก่พระราชา.
ชนปทา,แว่นแคว้น
เขมฏฺฐิตา,ก็เป็นแว่นแคว้นที่ตั้งอยู่ด้วยความเกษม
อกณฺฏกา,เป็นแว่นแคว้นที่ไม่มีเสี้ยนหนามคือโจร
อนุปฺปีฬา,เป็นแว่นแคว้นที่ไม่มีการเบียดเบียน
(โหนฺติ),ย่อมเป็น
มนุสฺสา,ประชาชน ท.
มุทา,เป็นผู้ชื่นชม
โมทมานา,เป็นผู้ยินดีอยู่
นจฺเจนฺตา,เล่นสนุกอยู่
ปุตฺเต,กะบุตร ท.
อุเร,ที่อก
อปารุตฆรา มญฺเญ,เป็น
,ผู้มีเรือนที่ไม่ต้องปิดประตู
วิหรึสุ,ดำเนินชีวิตไปแล้ว.
พฺราหฺมณ,ดูก่อนพราหมณ์
อถ โข,ครั้งนั้น
ราชา,พระราชา
มหาวิชิโต,ทรงพระนามว่ามหาวิชิตะ
อามนฺเตตฺวา,รับสั่งให
,้เรียกมาแล้ว
พฺราหฺมณํ,ซึ่งพราหมณ์
ปุโรหิตํ,ผู้เป็นปุโรหิต
อโวจ,ได้ตรัสแล้ว
เอตํ (วจนํ),ซึ่งพระดำรัสนี้
อิติ,ว่า
โภโต,ท่านผู้เจริญ
ทุสฺสุขิโล,เสี้ยนหนามคือโจร
เม,อันเรา
สมูหโต โข,กำจัดให้สิ้นไปแล้ว
อาคมฺม,เพราะอาศัย
สํวิธานํ,ซึ่งวิธีการ
โภโต,ของท่าน
จ,และ
,กอง
มหา,อันใหญ่
(อโหสิ),ได้มีแล้ว
เม,แก่เรา
ชนปทา,แว่นแคว้น
,ท.
เขมฏฺฐิตา,ก็เป็นแว่นแคว้นที่ตั้งอยู่ด้วยความเกษม
อกณฺฏกา,เป็นแว่นแคว้นที่ไม่มีเสี้ยนหนามคือโจร
อนุปฺปีฬา,เป็นแว่นแคว้นที่ไม่มีการเบียดเบี
,ยน
(โหนฺติ),ย่อมเป็น
มนุสฺสา,ประชาชน ท.
มุทา,เป็นผู้ชื่นชม
โมทมานา,เป็นผู้ยินดีอยู่
นจฺเจนฺตา,เล่นสนุกอยู่
ปุตฺเต,กะบุตร ท.
อุเร,ที่อก
อปารุตฆรา มญฺเญ,เป็นผู้มีเรือนที่ไม่ต้องปิดประตูแล้ว
วิหรนฺติ,ย่อมดำเนินชีวิตไป.
พฺราหฺมณ,ดูก่อนพราหมณ์
อหํ,เรา
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
ยํ (มหายญฺญํ),มหายัญใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวํ,ขอท่านผู้เจริญ
อนุสาสตุ,โปรดแนะนำ
(ตํ),ซึ่งมหายัญนั้น
มํ,กะเรา
จตุปริกฺขาร,บริขาร ๔ ประการ
,[๓๓๙]
(พฺราหฺมโณ),พราหมณ์
(ปุโรหิโต),ผู้เป็นปุโรหิต
(อาห),กราบทูลแล้ว
อิติ,ว่า
ภวํ ราชา,ขอเดชะ
เตน หิ,ถ้าอย่างนั้น
ขตฺติยา,กษัตริย์ ท.
อานุยนฺตา,ผู้คล้อยตามอยู่
เจว,ผู้มีปกติอยู่ในนิคมด้วยนั่นเทียว
จ,ผู้มีปกติอยู่ในชนบทด้วย
เย,เหล่าใด
,มีอยู่
ชนปเท,ในแว่นแคว้น
,ของพระราชาผู้เจริญ
ภวํ ราชา,ขอพระราชาผู้เจริญ
,โปรดทรงบอกกล่าว
เต (ขตฺติเย),กะกษัตริย์ ท. เหล่านั้น
อิติ,ว่า
โภ,แน่ะท่านผู้เจริญ ท.
อหํ,เรา
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
ยํ (อนุชานนํ),ความร่วมมือใด
,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวนฺโต,ขอท่าน ท.
อนุชานนฺตุ,จงร่วมมือ
เม,กับเรา
(ตสฺมึ),ในมหายัญนั้น
,.  (๑)
,สหายผู้เป็นที่รัก ท.
,ชนผู้เป็นราชบริพาร ท.
เนคมา เจว,ผู้มีปกติอยู่ในนิคมด้วยนั่นเทียว
ชานปทา จ,ผู้มีปกติอยู่ในชนบทด้วย
เย,เหล่าใด
(อตฺถิ),มีอยู่
ชนปเท,ในแว่นแคว้น
,ของพระราชาผู้เจริญ
ภวํ ราชา,ขอพระราชาผู้เจริญ
อามนฺตยตํ,โปรดทรงบอกกล่าว
เต,กะสหายผู้เป็นที่รักและผู้ข้าราชบริพาร ท. เหล่านั้น
อิติ,ว่า
โภ,แน่ะท่านผู้เจริญ ท.
อหํ,เรา
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
ยํ (อนุชานนํ),ความร่วมมือใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวนฺโต,ขอท่าน ท.
อนุชานนฺตุ,จงร่วมมือ
เม,กับเรา
(ตสฺมึ,)  ในมหายัญนั้น
,.  (๒)
พฺราหฺมณมหาสาลา,พราหมณ์มหาศาล ท.
เนคมา เจว,ผู้มีปกติอยู่ในนิคมด้วยนั่นเทียว
ชานปทา จ,ผู้มีปกติอยู่ในชนบทด้วย
เย,เหล่าใด
(อตฺถิ),มีอยู่
ชนปเท,ในแว่นแคว้น
,ของพระราชาผู้เจริญ
ภวํ ราชา,ขอพระราชาผู้เจริญ
อามนฺตยตํ,โปรดทรงบอกกล่าว
เต,กะพราหมณ์มหาศาล ท. เหล่านั้น
อิติ,ว่า
โภ,แน่ะท่านผู้เจริญ ท.
อหํ,เรา
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
ยํ (อนุชานนํ),ความร่วมมือใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวนฺโต,ขอท่าน ท.
อนุชานนฺตุ,จงร่วมมือ
เม,กับเรา
(ตสฺมึ,)  ในมหายัญนั้น
,.  (๓)
คหปติเนจยิกา,คหบดีผู้มั่งคั่ง ท.
เนคมา เจว,ผู้มีปกติอยู่ในนิคมด้วยนั่นเทียว
ชานปทา จ,ผู้มีปกติอยู่ในชนบทด้วย
เย,เหล่าใด
(อตฺถิ),มีอยู่
ชนปเท,ในแว่นแคว้น
,ของพระราชาผู้เจริญ
ภวํ ราชา,ขอพระราชาผู้เจริญ
อามนฺตยตํ,โปรดทรงบอกกล่าว
เต,กะคหบดีผู้มั่งคั่ง ท. เหล่านั้น
อิติ,ว่า
โภ,แน่ะท่านผู้เจริญ ท.
อหํ,เรา
อิจฺฉามิ,ย่อมปรารถนา
ยชิตุํ,เพื่อจะบูชา
มหายญฺญํ,ซึ่งมหายัญ
ยํ (อนุชานนํ),ความร่วมมือใด
อสฺส=ภเวยฺย,พึงมี
หิตาย,เพื่อประโยชน์
สุขาย,เพื่อความสุข
มม,แก่เรา
ทีฆรตฺตํ,ตลอดกาลนาน
ภวนฺโต,ขอท่าน ท.
อนุชานนฺตุ,จงร่วมมือ
เม,กับเรา
(ตสฺมึ,)  ในมหายัญนั้น
,.  (๔)
พฺราหฺมณ,ดูก่อนพราหมณ์
ราชา,พระราชา
